completion_time,spatial_errors,target_distance
1060.01, 0.89,1
1079.99, 1.12,2
620.03, 2.25,0
2000, 7.97,2
1140.21, 1.15,1
619.90, 1.85,0
739.95, 0.18,1
959.86, 5.03,1
919.89, 0.75,2
1400.03, 3.58,3
1600.22, 11.67,3
1260.13, 1.44,3
639.92, 1.62,0
1200.28, 16.47,2
1080.20, 4.01,0
1019.94, 2.79,3
1519.97, 9.87,3
819.80, 0.86,1
1219.93, 3.70,3
1020.14, 1.93,1
1620.21, 25.61,3
1299.81, 11.26,3
739.91, 0.00,0
1220.27, 3.84,2
1379.92, 7.15,2
1500.06, 5.44,3
1019.95, 0.25,1
760.13, 0.00,0
2020.04, 10.23,3
1239.91, 8.27,3
1080.00, 7.80,2
640.23, 0.00,0
1080.20, 6.37,1
1319.81, 1.90,3
699.84, 0.00,0
999.90, 1.00,1
1040.14, 4.92,2
839.88, 0.08,1
1259.90, 1.26,3
1119.88, 17.65,2
1179.82, 9.58,3
800.02, 2.30,0
2179.94, 4.58,1
760.12, 0.00,0
759.98, 0.06,1
1919.93, 5.07,2
1159.83, 12.33,2
919.93, 0.54,3
880.23, 0.00,0
939.85, 1.02,1
959.99, 0.00,2
659.93, 0.61,0
1040.15, 0.83,1
699.94, 0.00,0
799.82, 0.00,0
1099.85, 5.60,2
1219.96, 1.44,3
1139.90, 0.21,2
1360.00, 14.08,3
980.05, 0.50,1
819.84, 3.13,1
1240.09, 2.26,3
899.91, 0.00,2
800.15, 2.48,1
1179.97, 28.53,3
1100.19, 12.10,3
1120.03, 12.42,2
939.88, 5.39,1
1559.85, 16.88,2
1219.97, 17.83,3
620.04, 0.00,0
880.25, 0.00,0
1120.24, 22.95,2
679.95, 0.00,0
1000.06, 6.10,2
2000, 3.74,2
640.22, 0.00,0
1480.01, 2.86,1
1099.83, 1.10,3
639.86, 0.30,0
1060.00, 7.46,1
759.92, 0.00,0
1600.16, 19.41,2
899.84, 1.07,1
800.00, 0.00,0
979.91, 4.21,1
639.81, 0.62,0
1139.84, 1.30,1
1060.02, 7.88,1
1180.26, 2.49,3
1240.07, 12.25,2
1280.01, 6.55,3
1380.22, 4.26,3
1480.29, 8.49,3
1720.06, 5.29,3
1120.17, 9.57,1
679.84, 0.00,0
1000.00, 2.31,2
1439.89, 2.77,2
699.95, 1.16,1
1060.04, 0.00,3
1039.92, 4.02,0
859.84, 3.56,0
679.89, 0.03,0
1099.82, 0.60,3
1440.06, 1.76,2
820.12, 3.52,0
740.11, 0.00,0
1459.98, 0.00,3
1240.08, 0.74,2
659.81, 0.43,0
919.83, 1.76,2
1020.09, 5.79,1
859.88, 0.82,2
999.91, 2.38,1
1020.13, 4.58,0
2000, 0.00,2
1059.95, 0.00,2
939.88, 3.45,0
919.90, 0.56,1
1100.22, 10.76,2
639.83, 1.88,0
1240.09, 1.33,3
740.03, 1.44,1
959.84, 1.80,1
779.93, 0.57,1
1320.04, 0.69,3
1760.12, 0.00,3
820.01, 2.70,1
1380.22, 3.38,3
1040.10, 0.77,3
1080.04, 1.38,2
1099.88, 10.68,2
860.02, 0.00,1
1119.88, 0.00,3
1239.99, 11.94,2
599.89, 1.58,0
1579.84, 24.51,2
1060.02, 6.88,1
940.27, 3.73,0
820.15, 2.37,2
919.88, 2.25,1
2800.10, 15.19,3
719.89, 1.65,0
1479.93, 9.25,1
1080.13, 0.89,2
1120.24, 15.94,2
1019.96, 12.84,1
1000.08, 2.10,3
1100.15, 1.43,3
980.00, 2.18,3
1019.81, 1.92,3
1640.21, 8.49,1
620.22, 0.28,0
1379.81, 5.57,3
1160.24, 3.60,3
980.29, 10.82,2
800.13, 1.99,0
1699.87, 12.24,3
1360.18, 6.47,1
999.90, 4.76,0
939.94, 0.93,2
1020.03, 3.44,2
1439.92, 4.89,3
1100.00, 9.98,1
1019.81, 8.53,2
620.01, 2.41,0
1179.83, 4.27,1
800.10, 2.56,0
619.80, 0.00,0
1040.00, 7.79,1
2679.96, 1.77,1
1360.03, 0.00,3
959.91, 0.00,1
1559.96, 1.70,3
1120.21, 1.92,2
619.88, 0.00,0
1120.18, 0.23,3
1619.87, 2.26,2
680.05, 0.00,0
619.81, 0.33,0
1160.27, 3.67,2
980.08, 0.00,1
1140.23, 0.00,3
1199.87, 6.63,2
1000.09, 0.00,1
1480.06, 3.75,3
880.21, 0.00,1
1099.88, 3.76,2
1060.01, 0.00,1
719.88, 1.78,0
2079.99, 13.32,3
639.86, 1.53,0
980.08, 1.00,2
819.99, 1.09,1
1039.98, 1.18,3
1959.98, 1.67,2
680.27, 0.31,0
779.80, 0.64,0
1459.94, 0.12,2
979.88, 0.00,1
639.93, 0.52,0
1799.98, 3.82,3
940.24, 0.69,1
620.02, 1.68,0
1159.87, 8.85,3
859.79, 0.52,2
599.88, 3.30,0
1199.95, 17.88,1
1320.18, 32.43,3
1159.80, 8.13,1
639.84, 2.40,0
620.16, 1.49,0
1199.87, 11.56,3
1239.90, 21.58,2
880.02, 3.18,0
1139.84, 10.82,1
1080.12, 2.67,0
1459.91, 15.37,2
1140.23, 3.57,3
680.25, 0.00,0
1040.16, 11.80,1
1080.13, 7.42,1
1120.22, 20.07,2
